Q4,Do you agree to accept Lokale Erasmus Initiative Konstanz as a new candidate section of ESN Deutschland e.V.?,en
AO01,Yes,en
AO02,No,en
AO03,Abstain,en
AO01,Ja,de-informal
AO02,Nein,de-informal
AO03,Enthaltung,de-informal
Q5,Stimmt ihr zu Gemini e.V. (Pforzheim) als neue Kandidatensektion des ESN Deutschland e.V. aufzunehmen?,de-informal
Q5,Do you agree to accept Gemini e.V. (Pforzheim) as a new candidate section of ESN Deutschland e.V.?,en
AO01,Yes,en
AO02,No,en
AO03,Abstain,en
AO01,Ja,de-informal
AO02,Nein,de-informal
AO03,Enthaltung,de-informal
Q6,Stimmt ihr zu International Student Association Saarbrücken als neues Mitglied des ESN Deutschland e.V. zum Ende dieser Mitgliederversammlung mit aufzunehmen und sie zur Südwestregion hinzuzufügen?,de-informal
Q6,Do you agree to accept International Student Association Saarbrücken as a new member of ESN Deutschland e.V. after the end of this National Assembly and to add it to the South-West region?,en
AO01,Yes,en
AO02,No,en
AO03,Abstain,en
AO01,Ja,de-informal
AO02,Nein,de-informal
AO03,Enthaltung,de-informal
Q1,Stimmt ihr dafür Olivia Parczyk von ihren Tätigkeiten als Präsidentin während des NB Mandats 2019/20 zu entlasten?,de-informal
Q1,Do you agree to discharge Olivia Parczyk of her actions as President during the NB mandate 2019/20?,en
AO01,Yes,en
AO02,No,en
AO03,Abstain,en
AO01,Ja,de-informal
AO02,Nein,de-informal
AO03,Enthaltung,de-informal
Q2,Stimmt ihr dafür Bianca Keiper von ihren Tätigkeiten als Vizepräsidentin während des NB Mandats 2019/20 zu entlasten?,de-informal
Q2,Do you agree to discharge Bianca Keiper of her actions as Vice-President during the NB mandate 2019/20?,en
AO01,Yes,en
AO02,No,en
AO03,Abstain,en
AO01,Ja,de-informal
AO02,Nein,de-informal
AO03,Enthaltung,de-informal
Q3,Stimmt ihr dafür Luís Henriques von seinen Tätigkeiten als Finanzvorstand während des NB Mandats 2019/20 bis einschließlich September 2019 zu entlasten?,de-informal
Q3,Do you agree to discharge Luís Henriques of his actions as Treasurer during the NB mandate 2019/20 up to and including September 2019?,en
AO01,Yes,en
AO02,No,en
AO03,Abstain,en
AO01,Ja,de-informal
AO02,Nein,de-informal
AO03,Enthaltung,de-informal
Q4,Stimmt ihr dafür Jana Borchardt von ihren Tätigkeiten als Nationale Repräsentantin während des NB Mandats 2019/20 zu entlasten?,de-informal
Q4,Do you agree to discharge Jana Borchardt of her actions as National Representative during the NB mandate 2019/20?,en
AO01,Yes,en
AO02,No,en
AO03,Abstain,en
AO01,Ja,de-informal
AO02,Nein,de-informal
AO03,Enthaltung,de-informal
Q5,Stimmt ihr dafür Laura Hoffmann von ihren Tätigkeiten als PR-Managerin während des NB Mandats 2019/20 zu entlasten?,de-informal
Q5,Do you agree to discharge Laura Hoffmann of her actions as PR-Manager during the NB mandate 2019/20?,en
AO01,Yes,en
AO02,No,en
AO03,Abstain,en
AO01,Ja,de-informal
AO02,Nein,de-informal
AO03,Enthaltung,de-informal
Q6,Stimmt ihr dafür Hannah Potthoff von ihren Tätigkeiten als Partnership-Managerin während des NB Mandats 2019/20 zu entlasten?,de-informal
Q6,Do you agree to discharge Hannah Potthoff of her actions as Partnership Manager during the NB mandate 2019/20?,en
AO01,Yes,en
AO02,No,en
AO03,Abstain,en
AO01,Ja,de-informal
AO02,Nein,de-informal
AO03,Enthaltung,de-informal
Q7,Stimmt ihr dafür Michel Böhm von seinen Tätigkeiten als Webmaster während des NB Mandats 2019/20 zu entlasten?,de-informal
Q7,Do you agree to discharge Michel Böhm of his actions as Webmaster during the NB mandate 2019/20?,en
AO01,Yes,en
AO02,No,en
AO03,Abstain,en
AO01,Ja,de-informal
AO02,Nein,de-informal
AO03,Enthaltung,de-informal
Q8,Stimmt ihr dafür Julia Bauer von ihren Tätigkeiten als Education Officer während des NB Mandats 2019/20 zu entlasten?,de-informal
Q8,Do you agree to discharge Julia Bauer of her actions as Education Officer during the NB mandate 2019/20?,en
AO01,Yes,en
AO02,No,en
AO03,Abstain,en
AO01,Ja,de-informal
AO02,Nein,de-informal
AO03,Enthaltung,de-informal
