Habt ihr euch die neuen mega irre geilen ESN Germany Badelatschen geholt?,attribute_1
Käsekuchen.,ESN Bonn 
Nein ich laufe lieber nur in Socken draußen rum - vor allem im Winter!,ESN Freiburg
Käsekuchen.,ESN Darmstadt
Nein ich laufe lieber nur in Socken draußen rum - vor allem im Winter!,ESN Heidelberg
Käsekuchen.,ESN Hildesheim
Nein ich laufe lieber nur in Socken draußen rum - vor allem im Winter!,ESN Witten/Herdecke
Käsekuchen.,ESN Dortmund
Käsekuchen.,ESN Braunschweig
Ja und ich trage sie nur in Kombination mit meinen hohen weißen Socken!,ESN Ingolstadt
Käsekuchen.,ESN Düsseldorf
Käsekuchen.,ESN Göttingen
Nein ich laufe lieber nur in Socken draußen rum - vor allem im Winter!,ESN Halle (Saale)
Käsekuchen.,ESN Kiel
Nein ich laufe lieber nur in Socken draußen rum - vor allem im Winter!,ESN Siegen
Ja und ich trage sie nur in Kombination mit meinen hohen weißen Socken!,ESN Hamburg
Käsekuchen.,ESN LEI STEP Kaiserslautern
Nein ich laufe lieber nur in Socken draußen rum - vor allem im Winter!,ESN TU Dresden 
Nein ich laufe lieber nur in Socken draußen rum - vor allem im Winter!,ESN Erasmix Medizin Berlin
Käsekuchen.,ESN Köln
Nein ich laufe lieber nur in Socken draußen rum - vor allem im Winter!,ESN Saarbrücken
Ja und ich trage sie nur in Kombination mit meinen hohen weißen Socken!,ESN MESA München
Nein ich laufe lieber nur in Socken draußen rum - vor allem im Winter!,ESN Jena
Käsekuchen.,ESN LEI Greifswald
Käsekuchen.,ESN Augsburg
Nein ich laufe lieber nur in Socken draußen rum - vor allem im Winter!,ESN Bochum
Ja und ich trage sie nur in Kombination mit meinen hohen weißen Socken!,ESN AKI Deggendorf
